"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"05/29/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",685,295,1590,647,350,1194,1135,498,2585,735,365,1476,443,176,1114,312,142,682
"05/30/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",739,310,1763,602,338,1071,1140,464,2800,766,372,1575,689,249,1906,316,141,703
"05/31/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",253,126,508,229,116,450,273,134,555,271,136,538,244,123,486,240,119,483
"06/01/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",535,236,1213,613,316,1191,784,343,1790,594,286,1233,311,149,647,321,152,680
"06/02/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",355,161,783,291,152,556,310,128,745,475,251,901,332,148,746,247,119,511
"06/03/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",269,128,562,229,117,450,248,132,463,322,143,726,266,126,561,246,121,499
"06/04/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",632,274,1457,715,402,1272,1046,548,1997,636,310,1306,418,165,1055,296,145,603
"06/05/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",642,261,1576,614,305,1235,1223,540,2767,654,303,1408,362,152,862,282,134,592
"06/06/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",632,254,1570,606,295,1246,1188,506,2787,660,300,1452,353,156,797,274,132,568
"06/07/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",636,263,1537,608,314,1178,1081,471,2481,685,308,1520,393,178,868,242,123,476
"06/08/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",636,277,1459,558,291,1069,1155,496,2690,709,375,1340,401,190,844,286,128,638
"06/09/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",340,157,735,289,157,532,353,160,777,430,204,905,314,144,688,227,114,449
"06/10/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",262,128,537,200,119,335,284,133,609,320,151,677,257,132,498,218,108,440
"06/11/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",584,244,1397,588,274,1260,1042,456,2380,577,286,1165,366,149,898,295,125,695
"06/12/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",672,277,1630,642,301,1368,1136,596,2165,736,355,1525,324,144,727,254,125,517
"06/13/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",509,221,1173,494,266,919,719,277,1864,582,308,1098,314,124,791,306,142,659
"06/14/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",565,241,1323,536,282,1020,949,406,2220,650,312,1357,322,150,693,254,126,510
"06/15/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",498,221,1120,489,277,862,787,349,1774,547,276,1085,338,151,755,295,137,635
"06/16/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",406,180,917,407,201,820,456,219,948,600,300,1197,261,132,515,212,108,417
"06/17/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",291,133,640,292,130,651,335,169,665,339,153,751,284,131,614,212,104,434
"06/18/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",611,251,1487,609,302,1229,1033,462,2311,639,291,1404,391,162,946,251,124,510
"06/19/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",598,257,1392,579,325,1030,990,413,2374,652,322,1320,340,150,773,262,125,546
"06/20/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",600,259,1388,610,305,1220,993,406,2430,590,289,1201,404,175,935,289,137,606
"06/21/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",538,239,1212,527,274,1013,803,403,1601,597,278,1282,384,178,825,234,115,477
"06/22/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",553,232,1317,442,221,881,1058,491,2283,579,260,1289,378,170,841,334,149,749
"06/23/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",365,167,799,308,162,583,346,163,734,455,213,971,370,170,803,249,113,546
"06/24/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",274,133,563,268,135,530,279,146,534,326,148,715,254,124,521,232,120,447
"06/25/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",291,136,618,297,137,643,311,139,695,326,163,649,263,125,553,242,115,509
"06/26/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",712,282,1800,795,338,1872,1142,525,2483,748,350,1597,407,165,1006,291,130,649
"06/27/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",637,259,1568,740,380,1441,855,315,2318,707,336,1487,384,157,940,317,144,696
"06/28/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",611,259,1441,642,321,1285,892,362,2201,647,295,1420,396,184,851,270,130,560
"06/29/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",643,266,1554,609,309,1198,959,381,2413,775,378,1589,445,192,1031,324,135,779
"03/31/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",369,163,834,421,211,838,389,171,884,493,233,1043,307,147,641,231,109,492
"04/01/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",254,121,534,224,120,418,244,135,441,299,136,653,254,113,571,225,111,455
"04/02/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",582,249,1362,682,310,1499,872,397,1914,632,304,1314,330,151,721,296,144,609
